Adasevci,Ada[evci,Адаевци
Veliki Borak,Veliki Borak,Велики Борак
Veliki Jovanovac,Veliki Jovanovac,Велики Јовановац
Veliko Orasje,Veliko Orašje,Велико Орашје
Velino Selo,Velino Selo,Велино Село
Veljkovo,Veljkovo,Вељково
Verusic,Verušic,Верушиц
Vilovo-gardinovci,Vilovo-gardinovci,Виловогардиновци
Vinarci,Vinarci,Винарци
Virpazar,Virpazar,Вирпазар
Visnjicevo,Višnjićevo,Вишњићево
Visoka,Visoka,Висока
Vitanovac,Vitanovac,Витановац
Vitkovac,Vitkovac,Витковац
Vitkovac Stajaliste,Vitkovac Stajalište,Витковац Стајалиште
Vladicin Han,Vladičin Han,Владичин Хан
Vladimirovac,Vladimirovac,Владимировац
Vlajkovac,Vlajkovac,Влајковац
Vlaole,Vlaole,Влаоле
Vlaole Selo,Vlaole Selo,Влаоле Село
Vlasko Polje,Vlaško Polje,Влашко Поље
Vodanj,Vodanj,Водањ
Voganj,Voganj,Вогањ
Vojka,Vojka,Војка
Vojnik,Vojnik,Војник
Voluja,Voluja,Волуја
Volujak,Volujak,Волујак
Vranesi,Vraneši,Вранеши
Vranje,Vranje,Врање
Vranjina,Vranjina,Врањина
Vranjska Banja,Vranjska Banja,Врањска Бања
Vranovo,Vranovo,Враново
Vratarnica,Vratarnica,Вратарница
Vrazogrnac,Vrazogrnac,Вразогрнац
Vrba,Vrba,Врба
Vrbas,Vrbas,Врбас
Vrbica,Vrbica,Врбица
Vrbnica,Vrbnica,Врбница
Vrcin,Vrčin,Врчин
Vreoci,Vreoci,Вреоци
Vrnica,Vrnica,Врница
Vrnjacka Banja,Vrnjačka Banja,Врњачка Бања
Vrsac,Vršac,Вршац
Vrsac Granica,Vršac Granica,Вршац Граница
Vrsacki Ritovi,Vršački Ritovi,Вршачки Ритови
Vrtiste,Vrtište,Вртиште
Vucitrn,Vučitrn,Вучитрн
Vuckovica,Vučkovica,Вучковица
Vukov Spomenik,Vukov Spomenik,Вуков Споменик
Zabalj,Žabalj,Жабаљ
Zablace,Zablaće,Заблаће
Zagradje,Zagrađe,Заграђе
Zajecar,Zaječar,Зајечар
Zari,Zari,Зари
Zavod,Zavod,Завод
Zednik,Žednik,Жедник
Zemun,Zemun,Земун
Zemunsko Polje,Zemunsko Polje,Земунско Поље
Zeta,Zeta,Зета
Žitorada Centar,Žitorada Centar,Житорада Центар
Zitoradja,Žitoradja,Житорадја
Zivkovac,Živkovac,Живковац
Zivkovo,Živkovo,Живково
Zlakusa,Zlakuša,Злакуша
Zlatibor,Zlatibor,Златибор
Zlatica,Zlatica,Златица
Zlatica,Zlatica,Златица
Zmajevo,Zmajevo,Змајево
Zrenjanin,Zrenjanin,Зрењанин
Zrenjanin Fabrika,Zrenjanin Fabrika,Зрењанин Фабрика
Zrze,Zrže,Зрже
Zuce,Zuce,Зуце
Zuce Stajaliste,Zuce Stajalište,Зуце Стајалиште
Zvecan,Zvečan,Звечан
Zvizd,Zvizd,Звизд
Zvornik,Zvornik,Зворник
Zvornik Grad,Zvornik Grad,Зворник Град
